ID;X.15N_E;X.15N_M;X.15N_I;YEAR;Month;AGE_CLASS;relative;d1_E;d1_M;d1_I;d0;c;t3;t2;t1;d41;sampling date;birth_date;julian_date;method;sampled
P23;15.99;15.49;15.44;2019;3;c;F23;15.74;15.66;15.32;16.74;7.031417142;11.09439038;19.01937779;19.83749566;14.24447932;15.03.2019;03.03.2019;61.9;1;sampled_mc
P04;14.9;16.34;15.9;2019;1;c;F04;;;;1;;;;;;28.01.2019;;;1;
P05;16.39;15.83;15.52;2019;1;c;F05;;;;1;;;;;;29.01.2019;;;1;
P06;13.07;13.28;13.38;2019;1;c;F06;12.24;12.3;12.69;13.69;-0.387445144;1.732264715;-0.404450768;-1.410421652;10.07149502;29.01.2019;27.01.2019;26.3;1;sampled_mc
P07;15.75;15.26;15.12;2019;1;c;F07;14.66;14.84;14.71;15.84;4.383872227;-1.097013127;4.983976218;6.771783624;12.8952856;29.01.2019;30.01.2019;29.1;1;sampled_mc
P08;14.1;13.9;13.56;2019;1;c;F08;13.48;13.15;13.43;14.48;4.771417142;5.509671574;8.500342979;13.73813753;11.98447932;30.01.2019;24.01.2019;23.5;1;sampled_mc
P09;12.19;11.8;11.51;2019;1;c;F09;10.7;11.35;11.75;12.75;-7.152594859;-3.540771908;-0.730022602;1.397773758;7.634182615;30.01.2019;02.02.2019;32.5;1;sampled_mc
P10;15.47;14.95;14.86;2019;1;c;F10;15.3;15.17;15.01;16.3;6.591417142;12.33219976;20.66049285;22.15437122;13.80447932;01.02.2019;19.01.2019;18.7;1;sampled_mc
P11;15.14;14.71;14.62;2019;3;c;F11;;;;1;;;;;;14.03.2019;;;1;
P12;13.81;13.32;13.23;2019;3;c;F12;;;;1;;;;;;14.03.2019;;;1;
P13;13.69;13.4;13.33;2019;3;c;F13;;;;1;;;;;;14.03.2019;;;1;
P14;14.88;14.77;14.45;2019;3;c;F14;14.96;14.79;14.63;15.96;6.251417142;16.27350802;18.04399613;23.32756166;13.46447932;15.03.2019;26.02.2019;56.7;1;sampled_mc
P16;15.25;16.57;14.86;2019;3;c;F16;15.16;15.13;0;16.16;6.451417142;13.58121298;-5.707840779;19.83749566;13.66447932;15.03.2019;01.03.2019;59.4;1;sampled_mc
P17;14.99;15.02;14.97;2019;3;c;F17;;;;1;;;;;;15.03.2019;;;1;
P18;15.02;15;14.83;2019;3;c;F18;;;;1;;;;;;18.03.2019;;;1;
P19;15.07;14.5;14.55;2019;3;c;F19;15.22;15.05;14.88;16.22;6.511417142;17.39755094;26.90819263;26.0471961;13.72447932;18.03.2019;28.02.2019;58.6;1;sampled_mc
P20;15.11;14.77;14.82;2019;3;c;F20;14.55;14.79;14.61;15.79;3.751357256;5.244499076;9.438143974;8.81338124;12.69555436;19.03.2019;13.03.2019;71.8;1;sampled_mc
P21;13.29;13.04;12.87;2019;3;c;F21;12.69;12.8;12.9;13.9;2.152614742;4.869101892;8.001911376;10.17358693;10.88041998;19.03.2019;14.03.2019;72.1;1;sampled_mc
P22;14.52;14.15;13.89;2019;3;c;F22;13.97;0;13.96;14.97;5.261417142;6.549049855;12.17686501;16.27350802;12.47447932;19.03.2019;12.03.2019;70.5;1;sampled_mc
p03;15.99;15.53;15.44;2019;1;c;f03;15.53;15.55;15.6;16.6;6.211816342;7.417669376;14.06699817;15.40628555;13.92979288;28.01.2019;20.01.2019;19.6;1;sampled_mc
